,Number,title,artist,top genre,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,popularity
14,15,Eye of the Tiger,Survivor,album rock,1985,109,0.6,0.82,-9,0.09,0.55,246000,0.13,0.03,76
15,16,Right Here Waiting,Richard Marx,mellow gold,1989,178,0.25,0.4,-14,0.1,0.13,264000,0.8,0.03,75
16,17,Listen to Your Heart,Roxette,europop,1988,86,0.58,0.54,-5,0.11,0.34,328000,0.11,0.03,75
17,18,Born in the U.S.A.,Bruce Springsteen,classic rock,1984,122,0.95,0.4,-6,0.1,0.58,279000,0.0,0.06,75
18,19,Pour Some Sugar On Me - Remastered 2017,Def Leppard,album rock,1987,85,0.95,0.27,-5,0.28,0.57,267000,0.0,0.1,74
19,20,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,mellow gold,2016,116,0.5,0.58,-7,0.13,0.11,206000,0.2,0.03,74
20,21,Maniac,Michael Sembello,hi-nrg,1983,159,0.53,0.62,-12,0.04,0.84,245000,0.09,0.07,73
21,22,Hungry Eyes,Eric Carmen,adult standards,1997,110,0.55,0.71,-9,0.12,0.55,251000,0.01,0.03,73
22,23,Panama - 2015 Remaster,Van Halen,album rock,1984,141,0.98,0.53,-5,0.07,0.46,210000,0.0,0.11,73
23,24,Forever Young,Alphaville,dance rock,1984,137,0.48,0.49,-9,0.24,0.33,227000,0.42,0.03,73
24,25,I Love Rock 'N Roll,Joan Jett & The Blackhearts,glam punk,1981,94,0.72,0.54,-5,0.66,0.9,175000,0.33,0.04,72
25,26,Sacrifice,Elton John,glam rock,1989,113,0.42,0.76,-13,0.04,0.49,304000,0.02,0.03,72
26,27,Material Girl,Madonna,dance pop,2009,137,0.88,0.74,-3,0.1,0.98,240000,0.33,0.03,72
27,28,The Winner Takes It All,ABBA,europop,1980,126,0.79,0.45,-7,0.09,0.52,295000,0.57,0.04,72
28,29,Smalltown Boy,Bronski Beat,dance rock,1984,135,0.58,0.69,-11,0.12,0.94,302000,0.29,0.03,71
29,30,The Best - Edit,Tina Turner,disco,1991,104,0.83,0.68,-6,0.21,0.82,250000,0.01,0.03,71
30,31,(I Just) Died In Your Arms,Cutting Crew,album rock,1986,125,0.73,0.63,-11,0.06,0.51,280000,0.02,0.04,71
31,32,Brothers In Arms,Dire Straits,album rock,1985,79,0.3,0.41,-14,0.18,0.14,424000,0.53,0.03,71
32,33,Glory of Love,Peter Cetera,adult standards,1986,145,0.59,0.52,-8,0.31,0.31,258000,0.08,0.03,71
33,34,Super Trouper,ABBA,europop,1980,118,0.63,0.76,-8,0.2,0.96,253000,0.46,0.03,70
34,35,Flashdance...What a Feeling - Radio Edit,Irene Cara,dance rock,1983,122,0.65,0.57,-7,0.09,0.4,237000,0.01,0.03,70
35,36,Every Time You Go Away - Radio Edit,Paul Young,album rock,1991,164,0.72,0.57,-9,0.22,0.84,267000,0.19,0.04,70
36,37,Self Control,Laura Branigan,dance rock,1984,107,0.69,0.81,-12,0.16,0.78,246000,0.22,0.03,70
